[DBG] | [src/main.c:main:9] PROGRAM START
[DBG] | [src/arg_parser.c:create_def_config:8] create_def_config in
[DBG] | [src/dir.c:get_current_dir:12] get_current_dir in
[DBG] | [src/dir.c:get_current_dir:18] get_current_dir out
[DBG] | [src/str.c:str_sum:94] str_sum in
[DBG] | [src/str.c:str_len:6] str_len in
[DBG] | [src/str.c:str_len:6] str_len in
[DBG] | [src/str.c:str_sum:116] str_sum out
[DBG] | [src/arg_parser.c:create_def_config:34] create_def_config out
[DBG] | [src/arg_parser.c:parse_arguments:39] parse_arguments in
[DBG] | [src/str.c:str_cmp:36] str_cmp in
[DBG] | [src/str.c:str_len:6] str_len in
[DBG] | [src/str.c:str_len:6] str_len in
[DBG] | [src/str.c:str_cmp:47] str_cmp out
[DBG] | [src/str.c:str_to_ushort:76] str_to_ushort in
[DBG] | [src/str.c:str_to_ushort:89] str_to_ushort out
[DBG] | [src/dir.c:normalize_dir:22] normalize_dir in
[DBG] | [src/str.c:str_replace:121] str_replace in
[DBG] | [src/str.c:str_replace:125] str_replace out
[DBG] | [src/dir.c:normalize_dir:28] normalize_dir out
[DBG] | [src/arg_parser.c:parse_arguments:195] parse_arguments out
[DBG] | [src/server_tool.c:check_port:19] check_port in
[DBG] | [src/server_tool.c:check_port:49] check_port out
[DBG] | [src/arg_parser.c:free_config:200] free_config in
[DBG] | [src/arg_parser.c:free_config:205] free_config out
[ERR] | [src/main.c:main:37] error: port is busy
[DBG] | [src/main.c:main:38] main out
[DBG] | [src/main.c:main:9] PROGRAM START
[DBG] | [src/arg_parser.c:create_def_config:8] create_def_config in
[DBG] | [src/dir.c:get_current_dir:12] get_current_dir in
[DBG] | [src/dir.c:get_current_dir:18] get_current_dir out
[DBG] | [src/str.c:str_sum:94] str_sum in
[DBG] | [src/str.c:str_len:6] str_len in
[DBG] | [src/str.c:str_len:6] str_len in
[DBG] | [src/str.c:str_sum:116] str_sum out
[DBG] | [src/arg_parser.c:create_def_config:34] create_def_config out
[DBG] | [src/arg_parser.c:parse_arguments:39] parse_arguments in
[DBG] | [src/str.c:str_cmp:36] str_cmp in
[DBG] | [src/str.c:str_len:6] str_len in
[DBG] | [src/str.c:str_len:6] str_len in
[DBG] | [src/str.c:str_cmp:47] str_cmp out
[DBG] | [src/str.c:str_to_ushort:76] str_to_ushort in
[DBG] | [src/str.c:str_to_ushort:89] str_to_ushort out
[DBG] | [src/dir.c:normalize_dir:22] normalize_dir in
[DBG] | [src/str.c:str_replace:121] str_replace in
[DBG] | [src/str.c:str_replace:125] str_replace out
[DBG] | [src/dir.c:normalize_dir:28] normalize_dir out
[DBG] | [src/arg_parser.c:parse_arguments:195] parse_arguments out
[DBG] | [src/server_tool.c:check_port:19] check_port in
[DBG] | [src/server_tool.c:check_port:49] check_port out
[DBG] | [src/arg_parser.c:free_config:200] free_config in
[DBG] | [src/arg_parser.c:free_config:205] free_config out
[ERR] | [src/main.c:main:37] error: port is busy
[DBG] | [src/main.c:main:38] PROGRAM END

[DBG] | [src/main.c:main:9] PROGRAM START
[DBG] | [src/arg_parser.c:create_def_config:8] create_def_config in
[DBG] | [src/dir.c:get_current_dir:12] get_current_dir in
[DBG] | [src/dir.c:get_current_dir:18] get_current_dir out
[DBG] | [src/str.c:str_sum:94] str_sum in
[DBG] | [src/str.c:str_len:6] str_len in
[DBG] | [src/str.c:str_len:6] str_len in
[DBG] | [src/str.c:str_sum:116] str_sum out
[DBG] | [src/arg_parser.c:create_def_config:34] create_def_config out
[DBG] | [src/arg_parser.c:parse_arguments:39] parse_arguments in
[DBG] | [src/str.c:str_cmp:36] str_cmp in
[DBG] | [src/str.c:str_len:6] str_len in
[DBG] | [src/str.c:str_len:6] str_len in
[DBG] | [src/str.c:str_cmp:47] str_cmp out
[DBG] | [src/str.c:str_to_ushort:76] str_to_ushort in
[DBG] | [src/str.c:str_to_ushort:89] str_to_ushort out
[DBG] | [src/dir.c:normalize_dir:22] normalize_dir in
[DBG] | [src/str.c:str_replace:121] str_replace in
[DBG] | [src/str.c:str_replace:125] str_replace out
[DBG] | [src/dir.c:normalize_dir:28] normalize_dir out
[DBG] | [src/arg_parser.c:parse_arguments:195] parse_arguments out
[DBG] | [src/server_tool.c:check_port:19] check_port in
[DBG] | [src/server_tool.c:check_port:49] check_port out
[DBG] | [src/str.c:str_copy:130] str_copy in
[DBG] | [src/str.c:str_copy:140] str_copy out
[DBG] | [src/str.c:str_copy:130] str_copy in
[DBG] | [src/str.c:str_copy:140] str_copy out
[DBG] | [src/str.c:str_copy:130] str_copy in
[DBG] | [src/str.c:str_copy:140] str_copy out
[DBG] | [src/main.c:main:9] PROGRAM START
[DBG] | [src/arg_parser.c:create_def_config:8] create_def_config in
[DBG] | [src/dir.c:get_current_dir:12] get_current_dir in
[DBG] | [src/dir.c:get_current_dir:18] get_current_dir out
[DBG] | [src/str.c:str_sum:94] str_sum in
[DBG] | [src/str.c:str_len:6] str_len in
[DBG] | [src/str.c:str_len:6] str_len in
[DBG] | [src/str.c:str_sum:116] str_sum out
[DBG] | [src/arg_parser.c:create_def_config:34] create_def_config out
[DBG] | [src/arg_parser.c:parse_arguments:39] parse_arguments in
[DBG] | [src/str.c:str_cmp:36] str_cmp in
[DBG] | [src/str.c:str_len:6] str_len in
[DBG] | [src/str.c:str_len:6] str_len in
[DBG] | [src/str.c:str_cmp:47] str_cmp out
[DBG] | [src/str.c:str_to_ushort:76] str_to_ushort in
[DBG] | [src/str.c:str_to_ushort:89] str_to_ushort out
[DBG] | [src/dir.c:normalize_dir:22] normalize_dir in
[DBG] | [src/str.c:str_replace:121] str_replace in
[DBG] | [src/str.c:str_replace:125] str_replace out
[DBG] | [src/dir.c:normalize_dir:28] normalize_dir out
[DBG] | [src/arg_parser.c:parse_arguments:195] parse_arguments out
[DBG] | [src/server_tool.c:check_port:19] check_port in
[DBG] | [src/server_tool.c:check_port:49] check_port out
[DBG] | [src/str.c:str_copy:130] str_copy in
[DBG] | [src/str.c:str_copy:140] str_copy out
[DBG] | [src/str.c:str_copy:130] str_copy in
[DBG] | [src/str.c:str_copy:140] str_copy out
[DBG] | [src/str.c:str_copy:130] str_copy in
[DBG] | [src/str.c:str_copy:140] str_copy out
[DBG] | [src/str.c:str_replace:121] str_replace in
[DBG] | [src/str.c:str_replace:125] str_replace out
[DBG] | [src/str.c:str_parse:186] str_tok in
[DBG] | [src/str.c:str_search_chr:223] str_search_chr in
[DBG] | [src/str.c:str_search_chr:235] str_search_chr out
[DBG] | [src/str.c:str_search_chr:223] str_search_chr in
[DBG] | [src/str.c:str_search_chr:235] str_search_chr out
[DBG] | [src/str.c:str_search_chr:223] str_search_chr in
[DBG] | [src/str.c:str_search_chr:235] str_search_chr out
[DBG] | [src/str.c:str_search_chr:223] str_search_chr in
[DBG] | [src/str.c:str_search_chr:230] str_search_chr out
[DBG] | [src/str.c:str_parse:218] str_tok out
[DBG] | [src/str.c:str_cmp:36] str_cmp in
[DBG] | [src/str.c:str_len:6] str_len in
[DBG] | [src/str.c:str_len:6] str_len in
[DBG] | [src/str.c:str_cmp:43] str_cmp out
[DBG] | [src/str.c:str_cmp:36] str_cmp in
[DBG] | [src/str.c:str_len:6] str_len in
[DBG] | [src/str.c:str_len:6] str_len in
[DBG] | [src/str.c:str_cmp:38] str_cmp out
[DBG] | [src/str.c:str_len:6] str_len in
[DBG] | [src/str.c:str_parse:186] str_tok in
[DBG] | [src/str.c:str_search_chr:223] str_search_chr in
[DBG] | [src/str.c:str_search_chr:235] str_search_chr out
[DBG] | [src/str.c:str_search_chr:223] str_search_chr in
[DBG] | [src/str.c:str_search_chr:235] str_search_chr out
[DBG] | [src/str.c:str_search_chr:223] str_search_chr in
[DBG] | [src/str.c:str_search_chr:235] str_search_chr out
[DBG] | [src/str.c:str_search_chr:223] str_search_chr in
[DBG] | [src/str.c:str_search_chr:235] str_search_chr out
[DBG] | [src/str.c:str_search_chr:223] str_search_chr in
[DBG] | [src/str.c:str_search_chr:230] str_search_chr out
[DBG] | [src/str.c:str_parse:218] str_tok out
[DBG] | [src/str.c:str_cmp:36] str_cmp in
[DBG] | [src/str.c:str_len:6] str_len in
[DBG] | [src/str.c:str_len:6] str_len in
[DBG] | [src/str.c:str_cmp:38] str_cmp out
[DBG] | [src/str.c:str_cmp:36] str_cmp in
[DBG] | [src/str.c:str_len:6] str_len in
[DBG] | [src/str.c:str_len:6] str_len in
[DBG] | [src/str.c:str_cmp:38] str_cmp out
[DBG] | [src/str.c:str_len:6] str_len in
[DBG] | [src/str.c:str_parse:186] str_tok in
[DBG] | [src/str.c:str_search_chr:223] str_search_chr in
[DBG] | [src/str.c:str_search_chr:235] str_search_chr out
[DBG] | [src/str.c:str_search_chr:223] str_search_chr in
[DBG] | [src/str.c:str_search_chr:235] str_search_chr out
[DBG] | [src/str.c:str_search_chr:223] str_search_chr in
[DBG] | [src/str.c:str_search_chr:235] str_search_chr out
[DBG] | [src/str.c:str_search_chr:223] str_search_chr in
[DBG] | [src/str.c:str_search_chr:235] str_search_chr out
[DBG] | [src/str.c:str_search_chr:223] str_search_chr in
[DBG] | [src/str.c:str_search_chr:235] str_search_chr out
[DBG] | [src/str.c:str_search_chr:223] str_search_chr in
[DBG] | [src/str.c:str_search_chr:235] str_search_chr out
[DBG] | [src/str.c:str_search_chr:223] str_search_chr in
[DBG] | [src/str.c:str_search_chr:235] str_search_chr out
[DBG] | [src/str.c:str_search_chr:223] str_search_chr in
[DBG] | [src/str.c:str_search_chr:235] str_search_chr out
[DBG] | [src/str.c:str_search_chr:223] str_search_chr in
[DBG] | [src/str.c:str_search_chr:230] str_search_chr out
[DBG] | [src/str.c:str_parse:218] str_tok out
[DBG] | [src/str.c:str_cmp:36] str_cmp in
[DBG] | [src/str.c:str_len:6] str_len in
[DBG] | [src/str.c:str_len:6] str_len in
[DBG] | [src/str.c:str_cmp:38] str_cmp out
[DBG] | [src/str.c:str_cmp:36] str_cmp in
[DBG] | [src/str.c:str_len:6] str_len in
[DBG] | [src/str.c:str_len:6] str_len in
[DBG] | [src/str.c:str_cmp:38] str_cmp out
[DBG] | [src/str.c:str_len:6] str_len in
[DBG] | [src/str.c:str_parse:186] str_tok in
[DBG] | [src/str.c:str_search_chr:223] str_search_chr in
[DBG] | [src/str.c:str_search_chr:235] str_search_chr out
[DBG] | [src/str.c:str_search_chr:223] str_search_chr in
[DBG] | [src/str.c:str_search_chr:235] str_search_chr out
[DBG] | [src/str.c:str_search_chr:223] str_search_chr in
[DBG] | [src/str.c:str_search_chr:230] str_search_chr out
[DBG] | [src/str.c:str_parse:218] str_tok out
[DBG] | [src/str.c:str_cmp:36] str_cmp in
[DBG] | [src/str.c:str_len:6] str_len in
[DBG] | [src/str.c:str_len:6] str_len in
[DBG] | [src/str.c:str_cmp:38] str_cmp out
[DBG] | [src/str.c:str_cmp:36] str_cmp in
[DBG] | [src/str.c:str_len:6] str_len in
[DBG] | [src/str.c:str_len:6] str_len in
[DBG] | [src/str.c:str_cmp:43] str_cmp out
[DBG] | [src/str.c:str_len:6] str_len in
[DBG] | [src/str.c:str_parse:186] str_tok in
[DBG] | [src/str.c:str_search_chr:223] str_search_chr in
[DBG] | [src/str.c:str_search_chr:235] str_search_chr out
[DBG] | [src/str.c:str_search_chr:223] str_search_chr in
[DBG] | [src/str.c:str_search_chr:235] str_search_chr out
[DBG] | [src/str.c:str_search_chr:223] str_search_chr in
[DBG] | [src/str.c:str_search_chr:235] str_search_chr out
[DBG] | [src/str.c:str_search_chr:223] str_search_chr in
[DBG] | [src/str.c:str_search_chr:235] str_search_chr out
[DBG] | [src/str.c:str_search_chr:223] str_search_chr in
[DBG] | [src/str.c:str_search_chr:230] str_search_chr out
[DBG] | [src/str.c:str_parse:218] str_tok out
[DBG] | [src/str.c:str_cmp:36] str_cmp in
[DBG] | [src/str.c:str_len:6] str_len in
[DBG] | [src/str.c:str_len:6] str_len in
[DBG] | [src/str.c:str_cmp:38] str_cmp out
[DBG] | [src/str.c:str_cmp:36] str_cmp in
[DBG] | [src/str.c:str_len:6] str_len in
[DBG] | [src/str.c:str_len:6] str_len in
[DBG] | [src/str.c:str_cmp:38] str_cmp out
[DBG] | [src/str.c:str_len:6] str_len in
[DBG] | [src/str.c:str_parse:186] str_tok in
[DBG] | [src/str.c:str_search_chr:223] str_search_chr in
[DBG] | [src/str.c:str_search_chr:230] str_search_chr out
[DBG] | [src/str.c:str_parse:202] str_tok out
[DBG] | [src/str.c:str_copy:130] str_copy in
[DBG] | [src/str.c:str_copy:140] str_copy out
[DBG] | [src/str.c:str_replace:121] str_replace in
[DBG] | [src/str.c:str_replace:125] str_replace out
[DBG] | [src/str.c:str_len:6] str_len in
[DBG] | [src/str.c:str_include:20] str_include in
[DBG] | [src/str.c:str_len:6] str_len in
[DBG] | [src/str.c:str_len:6] str_len in
[DBG] | [src/str.c:str_len:6] str_len in
[DBG] | [src/str.c:str_len:6] str_len in
[DBG] | [src/str.c:str_len:6] str_len in
[DBG] | [src/str.c:str_len:6] str_len in
[DBG] | [src/str.c:str_len:6] str_len in
[DBG] | [src/str.c:str_len:6] str_len in
[DBG] | [src/str.c:str_len:6] str_len in
[DBG] | [src/str.c:str_len:6] str_len in
[DBG] | [src/str.c:str_len:6] str_len in
[DBG] | [src/str.c:str_len:6] str_len in
[DBG] | [src/str.c:str_len:6] str_len in
[DBG] | [src/str.c:str_len:6] str_len in
[DBG] | [src/str.c:str_len:6] str_len in
[DBG] | [src/str.c:str_len:6] str_len in
[DBG] | [src/str.c:str_len:6] str_len in
[DBG] | [src/str.c:str_len:6] str_len in
[DBG] | [src/str.c:str_len:6] str_len in
[DBG] | [src/str.c:str_len:6] str_len in
[DBG] | [src/str.c:str_len:6] str_len in
[DBG] | [src/str.c:str_len:6] str_len in
[DBG] | [src/str.c:str_len:6] str_len in
[DBG] | [src/str.c:str_include:31] str_include out
[DBG] | [src/str.c:str_cmp:36] str_cmp in
